Column1;Column2;Column3;Column4;Column5;month;day;time;year;File_name
drwx------;1;wienold;staff;16384;Oct;4;11:37:08;2021;.
drwx------;1;wienold;staff;16384;Oct;4;12:01:18;2021;..
-rwx------@;1;wienold;staff;6148;Oct;4;11:36:44;2021;.DS_Store
-rwx------;1;wienold;staff;414051660;May;18;14:32:17;2021;webcam_2021-05-18-13-43.avi
-rwx------@;1;wienold;staff;291393358;May;18;14:32:27;2021;webcam_2021-05-18-13-43.csv
-rwx------;1;wienold;staff;212;May;18;13:43:36;2021;webcam_2021-05-18-13-43_of_details.txt
-rwx------;1;wienold;staff;447518236;May;18;15:43:48;2021;webcam_2021-05-18-14-32.avi
-rwx------;1;wienold;staff;628539252;May;18;15:44:08;2021;webcam_2021-05-18-14-32.csv
-rwx------;1;wienold;staff;212;May;18;14:32:40;2021;webcam_2021-05-18-14-32_of_details.txt
-rwx------;1;wienold;staff;618663316;May;18;18:38:38;2021;webcam_2021-05-18-17-44.avi
-rwx------;1;wienold;staff;422925251;May;18;18:38:51;2021;webcam_2021-05-18-17-44.csv
-rwx------;1;wienold;staff;212;May;18;17:44:15;2021;webcam_2021-05-18-17-44_of_details.txt
-rwx------;1;wienold;staff;662452678;May;18;19:46:08;2021;webcam_2021-05-18-18-45.avi
-rwx------;1;wienold;staff;490408604;May;18;19:46:24;2021;webcam_2021-05-18-18-45.csv
-rwx------;1;wienold;staff;212;May;18;18:45:11;2021;webcam_2021-05-18-18-45_of_details.txt
-rwx------;1;wienold;staff;883601418;May;20;17:03:51;2021;webcam_2021-05-20-16-05.avi
-rwx------;1;wienold;staff;473680478;May;20;17:04:07;2021;webcam_2021-05-20-16-05.csv
-rwx------;1;wienold;staff;212;May;20;16:05:07;2021;webcam_2021-05-20-16-05_of_details.txt
-rwx------;1;wienold;staff;697718874;May;20;18:04:47;2021;webcam_2021-05-20-17-04.avi
-rwx------;1;wienold;staff;491537398;May;20;18:05:02;2021;webcam_2021-05-20-17-04.csv
-rwx------;1;wienold;staff;212;May;20;17:04:18;2021;webcam_2021-05-20-17-04_of_details.txt
-rwx------;1;wienold;staff;599346174;May;25;14:53:33;2021;webcam_2021-05-25-14-05.avi
-rwx------;1;wienold;staff;374679456;May;25;14:53:47;2021;webcam_2021-05-25-14-05.csv
-rwx------;1;wienold;staff;212;May;25;14:05:14;2021;webcam_2021-05-25-14-05_of_details.txt
-rwx------;1;wienold;staff;1067561350;May;25;16:22:45;2021;webcam_2021-05-25-15-03.avi
-rwx------;1;wienold;staff;611866864;May;25;16:23:05;2021;webcam_2021-05-25-15-03.csv
-rwx------;1;wienold;staff;212;May;25;15:03:11;2021;webcam_2021-05-25-15-03_of_details.txt
-rwx------;1;wienold;staff;890661514;May;25;17:10:10;2021;webcam_2021-05-25-16-23.avi
-rwx------;1;wienold;staff;383070579;May;25;17:10:23;2021;webcam_2021-05-25-16-23.csv
-rwx------;1;wienold;staff;212;May;25;16:23:13;2021;webcam_2021-05-25-16-23_of_details.txt
-rwx------;1;wienold;staff;1110575806;May;25;18:11:44;2021;webcam_2021-05-25-17-10.avi
-rwx------;1;wienold;staff;523317888;May;25;18:12:01;2021;webcam_2021-05-25-17-10.csv
-rwx------;1;wienold;staff;212;May;25;17:10:30;2021;webcam_2021-05-25-17-10_of_details.txt
-rwx------;1;wienold;staff;826904720;Jun;1;17:29:18;2021;webcam_2021-06-01-16-34.avi
-rwx------;1;wienold;staff;479072242;Jun;1;17:29:34;2021;webcam_2021-06-01-16-34.csv
-rwx------;1;wienold;staff;212;Jun;1;16:34:09;2021;webcam_2021-06-01-16-34_of_details.txt
-rwx------;1;wienold;staff;789604520;Jun;1;18:09:47;2021;webcam_2021-06-01-17-30.avi
-rwx------;1;wienold;staff;308739570;Jun;1;18:09:58;2021;webcam_2021-06-01-17-30.csv
-rwx------;1;wienold;staff;212;Jun;1;17:30:40;2021;webcam_2021-06-01-17-30_of_details.txt
-rwx------;1;wienold;staff;871760272;Jun;2;17:55:22;2021;webcam_2021-06-02-17-08.avi
-rwx------;1;wienold;staff;331124957;Jun;2;17:55:34;2021;webcam_2021-06-02-17-08.csv
-rwx------;1;wienold;staff;212;Jun;2;17:08:15;2021;webcam_2021-06-02-17-08_of_details.txt
-rwx------;1;wienold;staff;714301304;Jun;2;18:50:55;2021;webcam_2021-06-02-17-55.avi
-rwx------;1;wienold;staff;483093883;Jun;2;18:51:12;2021;webcam_2021-06-02-17-55.csv
-rwx------;1;wienold;staff;212;Jun;2;17:55:54;2021;webcam_2021-06-02-17-55_of_details.txt
-rwx------;1;wienold;staff;924538834;Jun;3;17:31:56;2021;webcam_2021-06-03-16-30.avi
-rwx------;1;wienold;staff;484809610;Jun;3;17:32:13;2021;webcam_2021-06-03-16-30.csv
-rwx------;1;wienold;staff;212;Jun;3;16:30:40;2021;webcam_2021-06-03-16-30_of_details.txt
-rwx------;1;wienold;staff;709953926;Jun;3;18:25:34;2021;webcam_2021-06-03-17-32.avi
